request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,289.23,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Pay EUR 1,302.40 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1,100 minimum."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,282.04,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-06. No eligible option keeps the USD 900 minimum protected.
request_31,2700039.54,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,13339.36,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. No eligible option keeps the ZAR 35,700 minimum protected."
request_33,30731.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. No eligible option keeps the INR 102,100 minimum protected."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,22868.81,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,588.71,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,4367687.16,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Pay IDR 14,649,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,171.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,57446.07,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,355.73,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. No eligible option keeps the EUR 1,500 minimum protected."
request_41,7644359.43,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. No eligible option keeps the INR 113,100 minimum protected."
request_43,8273626.88,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,30429.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. No eligible option keeps the INR 82,900 minimum protected."
request_45,3361778.45,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,35318.22,affordable_with_plan,partial_payment,2024-12-03:35318.22|2024-12-15:14131.78,2024-12-15,none,"Pay INR 35,318.22 today and the remaining INR 14,131.78 on 2024-12-15. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,1221224.89,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-19. No eligible option keeps the IDR 30,049,000 minimum protected."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,12655596.66,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4636:696350,"With the listed spending changes, use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,275,700 available over the next 90 days."
request_50,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-08-21. No eligible option keeps the INR 99,700 minimum protected."
request_51,2169453.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-28. No eligible option keeps the IDR 7,811,000 minimum protected."
request_52,19241.76,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,464.04,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.50,"With the listed spending changes, use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available over the next 90 days."
request_54,2083.52,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. No eligible option keeps the ZAR 37,000 minimum protected."
request_55,128738.85,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,reduce_to:event_5167:2750,"With the listed spending changes, use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 124,300 available over the next 90 days."
request_56,632.95,affordable_with_plan,partial_payment,2025-02-03:632.95|2025-02-15:248.61,2025-02-15,none,"Pay USD 632.95 today and the remaining USD 248.61 on 2025-02-15. This completes the full request and keeps the USD 2,100 minimum protected."
